what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1505435853392
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1505435853443
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1505435862743
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1505435868043
opened,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435868221
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435868370
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435870137
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435870902
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435871925
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435872804
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435872847
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435872932
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435874902
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.copy",1505435880158
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.copy",1505435880435
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1505435881084
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1505435882071
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435882161
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435882241
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1505435884485
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1505435886439
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1505435888295
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1505435888310
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1505435892138
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1505435897636
opened,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505435897981
