what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.js.npm,1.0.0.v201607180823,"org.eclipse.wst.jsdt.js.npm",1524264557348
started,bundle,org.eclipse.wst.jsdt.chromium.debug.core,0.5.0.v201608251013,"org.eclipse.wst.jsdt.chromium.debug.core",1524264560352
started,bundle,org.eclipse.jdt.debug,3.10.1.v20160811-0441,"org.eclipse.jdt.debug",1524264560684
started,bundle,org.eclipse.jdt.debug.ui,3.7.201.v20160811-0450,"org.eclipse.jdt.debug.ui",1524264560784
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264560849
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1524264563768
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264579575
started,bundle,org.eclipse.jst.jsp.ui,1.1.1100.v201605092203,"org.eclipse.jst.jsp.ui",1524264594466
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.500.v201604292217,"org.eclipse.wst.jsdt.debug.rhino.ui",1524264594497
started,bundle,org.eclipse.wst.sse.core,1.1.1000.v201608061842,"org.eclipse.wst.sse.core",1524264596998
started,bundle,org.eclipse.jst.jsp.core,1.2.901.v201608060346,"org.eclipse.jst.jsp.core",1524264597033
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.601.v201602241911,"org.eclipse.wst.jsdt.manipulation",1524264597321
started,bundle,org.eclipse.wst.jsdt.ui,2.0.0.v201608301904,"org.eclipse.wst.jsdt.ui",1524264597458
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264599101
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.edit.text.java.rename.element",1524264599132
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.300.v20160504-1450,"org.eclipse.equinox.p2.garbagecollector",1524264599956
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264600246
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1524264600252
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264603303
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264608890
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264609533
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264610527
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264612656
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1524264613553
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264618165
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264625473
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264628146
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264628265
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264628389
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1524264629308
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264629370
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264636030
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264679847
opened,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264680245
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524264680616
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264681958
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264688910
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264698146
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264701349
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264710658
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264713301
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264721581
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264735841
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1524264737586
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1524264743480
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264752190
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264871934
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264874598
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1524264900896
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264972648
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1524264976244
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1524264988386
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524264991611
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524265276872
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524265278111
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524265279571
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1524265280849
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524265280921
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524265281952
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524265283125
closed,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.ProblemView",1524265283379
closed,view,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console.ConsoleView",1524265283403
closed,view,org.eclipse.mylyn.tasks.ui,3.21.0.v20160913-2131,"org.eclipse.mylyn.tasks.ui.views.tasks",1524265283554
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1524265283612
closed,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1524265283702
closed,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524265283982
error,log,,,"Problems saving workspace",1524265288768
error,log,,,"Problems occurred while trying to save the state of the workbench.",1524265288788
